Time	Fp1_Delta(%)	Fp1_Theta(%)	Fp1_Alpha(%)	Fp1_Beta(%)	Fp1_Gamma(%)	Fp2_Delta(%)	Fp2_Theta(%)	Fp2_Alpha(%)	Fp2_Beta(%)	Fp2_Gamma(%)	Heartbeat(bpm)	SDNN(ms)	RMSSD(ms)	VLF(%)	LF(%)	HF(%)
오후 8:32:56.303 	30.929607	34.673254	13.163321	9.578599	4.740497	29.218279	31.484036	12.439493	11.246609	7.515446	113.267447	29.440602	35.683528	2.600715	25.418618	71.980667
오후 8:32:57.386 	30.380485	34.246351	13.675275	9.845131	4.798342	28.735279	30.994671	12.884489	11.522091	7.645421	113.474486	30.263910	35.115536	2.918442	25.151429	71.930129
오후 8:32:58.470 	30.585329	34.936150	13.325286	9.630689	4.739555	28.878667	31.792814	12.552170	11.246741	7.529611	113.656267	30.840362	34.233124	3.220128	26.144982	70.634890
오후 8:32:59.425 	29.390692	36.048626	13.534092	9.626899	4.741104	28.139389	32.356999	12.868034	11.309879	7.589213	113.829934	31.187959	34.251691	3.316926	25.926407	70.756667
오후 8:33:00.330 	29.934768	35.269604	13.519516	9.716569	4.783985	28.474923	31.774962	12.844286	11.408824	7.647619	113.838631	31.393345	34.838334	3.391732	25.407074	71.201194
오후 8:33:01.334 	30.083078	35.177356	13.433385	9.734161	4.794334	28.539308	31.727919	12.804276	11.438063	7.654654	114.039036	32.351404	34.899872	3.426620	24.959823	71.613557
오후 8:33:02.284 	30.250992	35.598988	13.235812	9.477021	4.668085	28.857508	32.078376	12.588652	11.240394	7.468254	114.012856	32.534544	35.149468	3.537333	24.828468	71.634199
오후 8:33:03.300 	30.459569	35.364542	13.281379	9.610239	4.720209	28.907562	31.924339	12.675973	11.351084	7.562794	114.336582	33.931795	36.271114	3.331480	25.316940	71.351580
오후 8:33:04.297 	30.234078	35.767611	13.233802	9.534213	4.679973	28.807003	32.115852	12.684418	11.293192	7.518284	114.521138	34.199481	36.027083	3.300873	25.344341	71.354786
오후 8:33:05.267 	30.630163	35.698597	13.177534	9.452499	4.622298	29.300893	32.006152	12.627071	11.158443	7.433428	114.732789	33.750362	35.502670	3.395360	25.212315	71.392326
오후 8:33:06.316 	30.603342	35.718218	13.164341	9.484112	4.632737	29.190330	32.023644	12.639523	11.201880	7.444645	114.757948	33.819128	35.891334	3.585002	25.184679	71.230319
오후 8:33:07.277 	30.893257	35.403159	12.992003	9.456463	4.613778	29.224437	31.839173	12.652592	11.200791	7.436069	114.889330	33.581330	35.900099	4.052394	25.258185	70.689421
